Card#,Title,Artist,Year,URL,Hashed Info,Youtube-Title,ISRC
1,"Nachts, wenn alles schläft...",Howard Carpendale,1979,https://www.youtube.com/watch?v=aLe-skz3pbo,8840a51d835814aa95bb74d423db35ddb09de6b6f9493994f5675820afd10831,"Nachts, wenn alles schläft",DEA340500985
2,Love Shack,The B-52's,1989,https://www.youtube.com/watch?v=LXZFtJceQC4,6d76c7826d73de3a43762d13db25c6ee7fded3118f72020389852fdcda1f8abd,Love Shack,USRE10801410
3,Wake Me Up Before You Go-Go,Wham!,1984,https://www.youtube.com/watch?v=c5DGcQoBC9k,606fdc28606745a22dd7cb1e223737d74d61e76547c888ebdd8728b69f6f9958,Wake Me Up Before You Go-Go,GBBBN0009712
4,Daydream Believer,The Monkees,1967,https://www.youtube.com/watch?v=aG9MBS0fjyE,06339b5f3563883d1c6e81c89205676a4ab4b68997f973f1124963f1e3ba943a,Daydream Believer,USRH10125802
5,Issues,Julia Michaels,2017,https://www.youtube.com/watch?v=7dqMyh4ILIg,185e714b59c55dfaf3cb39616e3cf8f578c6dfb6f47f79a76fb1ea0ff841299e,Julia Michaels - Issues (Audio),USUM71615691
6,Black Saturday,Mando Diao,2014,https://www.youtube.com/watch?v=t5Uq1wV4PUQ,3b5dcf5f0febffa3faae39ce5a627bd329bdf62f6e06c312af247bd867bafa94,Black Saturday,SEYBD1300102
7,The Weekend,Michael Gray,2004,https://www.youtube.com/watch?v=PMXjC6ZpNr4,a505775cc811d7ee548679449d28b4acbac991399ab9a81183638266e4cd8819,The Weekend (Radio Edit),GBBFR0400137
8,I Will Always Love You,Whitney Houston,1992,https://www.youtube.com/watch?v=tP0zj220CbQ,1736cb688ede5398147a5f6817eb6d26d2179f96befbbb1a0c3bb023e4526884,I Will Always Love You,USAR19200110
9,Tears in Heaven,Eric Clapton,1992,https://www.youtube.com/watch?v=VVqXLXMch9g,1d3e8c832318fae137fcb1eef4eee5cd63b02fd20f5b5c501091197f685bd2fd,Tears in Heaven,USRE19100010
10,Woman In Love,Barbra Streisand,1980,https://www.youtube.com/watch?v=hQLGCX8D-1Y,8d5598ab20d6ba3b187872a2341bbc55d23054187b59af85eacfc90ed150178f,Barbra Streisand - Woman in Love (Audio),USSM18000362
11,Please Mr. Postman,Carpenters,1974,https://www.youtube.com/watch?v=R1qY7QaL8pM,1d89cb65542502bff2e770ee7da50b60198be378e08e3f0d61dd7438586d84b6,Please Mr. Postman,USAM17500067
12,Crucified,Army Of Lovers,1991,https://www.youtube.com/watch?v=NtvoxOIQ9g0,9bdab900cc89ab211eb934c655efdf171f5eea92257214ef2a01f61b6dfef85c,Crucified (Radio Edit),USGI10000215
13,Holiday,The Other Ones,1986,https://www.youtube.com/watch?v=PSP-S882RKc,aa9a8e2dee5a04f8781700e639f0fc4d08a89c19facdb9765f4a721007e3bb3c,Holiday,DEG128600401
14,Hijo de la Luna,Mecano,1986,https://www.youtube.com/watch?v=sIIEP6pVACA,2e9744b874ea2111907aac31e86e3fdad91d6874436f715047a2206a8bc14a8b,Hijo de la Luna,ES5028600049
15,I'd Do Anything For Love (But I Won't Do That),Meat Loaf,1993,https://www.youtube.com/watch?v=kOeu1QhrCZg,fb61b53d2f71a73f43ce2a9dcc8b2fed7eaff81d584780342b4397e6fc936aac,I'd Do Anything For Love (But I Won't Do That) (Single Edit),USMC19341323
16,Soulmate,Natasha Bedingfield,2007,https://www.youtube.com/watch?v=PSmEy0CyWFs,0e32b2ae68bdb816e9c296ff429955b185c81523be556a9fa3d87cbd16e6369f,Soulmate,GBARL0700096
17,Faust auf Faust (Schimanski),Klaus Lage,1985,https://www.youtube.com/watch?v=CLF-ZCb9E5s,fcda845cc74af1ee21d971fe9b4cec55b1014d586928b12e5366b4f526182b59,Faust auf Faust (Schimanski) (Remastered 2007),DEA340700759
18,Because I Love You,Stevie B,1990,https://www.youtube.com/watch?v=Tm4lcJ9nMSw,7691b485afa0650da143fae3c0fc0147a104e8e63790014645bfe6b8f1b137c0,Because I Love You,AUGBT2311775
