Card#,Title,Artist,URL,Youtube-Title,Hashed Info
1,Wann wird's mal wieder richtig Sommer,Rudi Carrell,https://www.youtube.com/watch?v=KzEOvyDcVas,Rudi Carrell - Wann wird's mal wieder richtig Sommer 1975,d0f3c7b77482fd3fccc86921ce073fceba3694398e8848562096b598890c1374
2,You Can Call Me Al,Paul Simon,https://www.youtube.com/watch?v=uq-gYOrU8bA,Paul Simon - You Can Call Me Al (Official Video),f18367a706ebd69b473142ed8183acfb4b31fb5e46a1df190e10e9ac26537021
3,Start Me Up,The Rolling Stones,https://www.youtube.com/watch?v=SGyOaCXr8Lw,The Rolling Stones - Start Me Up - Official Promo,9500a2d94fa3bb940e28485809007c57884dda26a5830dd428d8e28eea69636a
4,The Twist,Chubby Checker,https://www.youtube.com/watch?v=-CCgDvUM4TM,Chubby Checker - The Twist (Official Music Video),3e45f1259620f3c41277f13823d65da880a07a474afb1489b8417eb4c6016734
5,Blurred Lines,Robin Thicke feat. T.I. & Pharrell Williams,https://www.youtube.com/watch?v=yyDUC1LUXSU,"Robin Thicke - Blurred Lines ft. T.I., Pharrell",4da6f532aa06536be873853777f10a693c62466f35f42bac7af54d87c54614a0
6,Hangover,"Taio Cruz, Flo Rida",https://www.youtube.com/watch?v=dLhFDYQHDQY,Taio Cruz - Hangover (Official Video) ft. Flo Rida,c4aa2ccfd66926a5ae4c273a8caf635d9959af3a4dc0724337840fbf69c96cfe
7,One More Time,Daft Punk,https://www.youtube.com/watch?v=FGBhQbmPwH8,Daft Punk - One More Time (Official Video),815f58b1e83dcd6d2a6e82e8974132bc4e619a9e458f5c433431ce48c84aa43b
8,China In Your Hand,T'Pau,https://www.youtube.com/watch?v=T4sV3lqzKqQ,T'Pau - China In Your Hand (Official Video),27395496d5c079bead9b096041dd42448b9459b8fa36f700dd4a4dcaf57ad5c2
9,The Best,Tina Turner,https://www.youtube.com/watch?v=GC5E8ie2pdM,Tina Turner - The Best (Official Music Video),b22a21c0a9bc1446692526a9b19a5b82c527e0cdc1f5e93863684c262c6d7dae
10,The Hustle,Van McCoy & The Soul City Symphony,https://www.youtube.com/watch?v=SFzMs2SN--s,Van McCoy - The Hustle (Official Music Video) [HD],51d8ccdb3ada3465598c696f0ad5cb17a7e611ee8a786690efa15977be7222d7
11,Piece of My Heart,Erma Franklin,https://youtu.be/L0QAxIKf8G4?t=16,Erma Franklin - Piece of My Heart (Video),7d5674fc951c76a69d0c374d68621127336d115c2a7a39c201f8a842f4c31344
12,Hungry Eyes,Eric Carmen,https://www.youtube.com/watch?v=2ssCL292DQA,Eric Carmen - Hungry Eyes (Official HD Video),f94ed56d2f0c241f20e3fc6aaed7b0112e4ed2e6f8e9c8f01a867872daf23ab1
13,Karma Chameleon,Culture Club,https://www.youtube.com/watch?v=JmcA9LIIXWw,Culture Club - Karma Chameleon (Official Music Video),8f84b511feda5b6c84062ec120d8554e66138b6a9b42d6244dec28e8aab9da89
14,99 Luftballons,Nena,https://www.youtube.com/watch?v=Fpu5a0Bl8eY,NENA | 99 Luftballons [1983] [Offizielles HD Musikvideo],8124f2ef28563872f90efdbb1bd8ff2a09998a6073c14f99edbe8f918a0911de
15,Beinhart,Torfrock,https://www.youtube.com/watch?v=Pmi0XqTlEY8,Torfrock - Beinhart (Musicvideo),a890835956f9057e744587f5c5e62354c0e95f5ea6167a34196c8d1b8a644ff6
16,In Da Club,50 Cent,https://www.youtube.com/watch?v=5qm8PH4xAss,50 Cent - In Da Club (Official Music Video),8745a11630a652936da36b87748c3ac006290c9090839bd17c0df70ee7dcb2a7
